skewness,song,spectral_rolloff,energy,spread,centroid,zcr,genre,kurtosis
1.529044e+00,electronic_vs_classical/01 - Give life back to music (1).mp3,5.396759e+03,2.106516e-01,2.511777e+03,2.199941e+03,7.165527e-02,electronic,-6.019736e+00
1.294100e+00,electronic_vs_classical/01 - Give life back to music (1).mp3,5.324084e+03,1.856503e-01,3.053808e+03,2.508480e+03,3.274536e-02,electronic,-5.984111e+00
1.330716e+00,electronic_vs_classical/01 - Give life back to music (1).mp3,4.071121e+03,2.122151e-01,3.403409e+03,2.566095e+03,3.341675e-02,electronic,-4.785612e+00
1.449505e+00,electronic_vs_classical/01 - Give life back to music (1).mp3,5.369843e+03,1.844831e-01,3.166194e+03,2.583864e+03,5.426025e-02,electronic,-5.559343e+00
2.277127e+00,electronic_vs_classical/01 - Give life back to music (1).mp3,2.769708e+03,2.005748e-01,2.554336e+03,1.658082e+03,3.967285e-02,electronic,1.091266e+00
1.364623e+00,electronic_vs_classical/01 - Give life back to music (1).mp3,5.044153e+03,1.788381e-01,2.946292e+03,2.411180e+03,3.894043e-02,electronic,-5.615275e+00
9.829980e-01,electronic_vs_classical/01 - Give life back to music (1).mp3,1.199399e+04,1.893335e-01,3.086255e+03,3.339126e+03,9.237671e-02,electronic,-1.528509e+01
1.111015e+00,electronic_vs_classical/01 - Give life back to music (1).mp3,6.006418e+03,2.138989e-01,3.558033e+03,2.953561e+03,2.859497e-02,electronic,-7.032633e+00
1.734539e+00,electronic_vs_classical/01 - Give life back to music (1).mp3,8.936279e+02,1.792449e-01,2.917849e+03,1.943405e+03,1.324463e-02,electronic,-1.674629e+00
8.766056e-01,electronic_vs_classical/01 - Give life back to music (1).mp3,9.533826e+03,7.599184e-02,3.620510e+03,3.312577e+03,2.813721e-02,electronic,-9.726117e+00
1.236036e+00,electronic_vs_classical/08 - Get lucky.mp3,5.275635e+03,2.016744e-01,3.510570e+03,2.717310e+03,2.319336e-02,electronic,-5.483207e+00
9.247221e-01,electronic_vs_classical/08 - Get lucky.mp3,9.073553e+03,2.290419e-01,3.500897e+03,3.115960e+03,9.777832e-02,electronic,-8.886349e+00
1.662498e+00,electronic_vs_classical/08 - Get lucky.mp3,3.920389e+03,2.649444e-01,3.009722e+03,2.198234e+03,4.861450e-02,electronic,-3.113162e+00
1.425227e+00,electronic_vs_classical/08 - Get lucky.mp3,6.497644e+03,2.161600e-01,3.196902e+03,2.481614e+03,3.939819e-02,electronic,-4.872523e+00
2.152699e-01,electronic_vs_classical/08 - Get lucky.mp3,1.398178e+04,1.441773e-01,3.380904e+03,4.688853e+03,1.319275e-01,electronic,-3.476641e+01
7.728993e-01,electronic_vs_classical/08 - Get lucky.mp3,1.205186e+04,1.420010e-01,3.592343e+03,3.491334e+03,8.712769e-02,electronic,-1.176045e+01
1.027151e+00,electronic_vs_classical/08 - Get lucky.mp3,8.369687e+03,2.153393e-01,3.412232e+03,2.908914e+03,5.554199e-02,electronic,-7.731073e+00
1.013648e+00,electronic_vs_classical/08 - Get lucky.mp3,1.016771e+04,2.063140e-01,3.526045e+03,3.055206e+03,5.041504e-02,electronic,-8.193511e+00
